match_url,match_date
/stats/matches/mapstatsid/135295/gamerlegion-vs-endpoint?rankingFilter=Top30,2022-03-14
/stats/matches/mapstatsid/135257/fnatic-vs-entropiq?rankingFilter=Top30,2022-03-13
/stats/matches/mapstatsid/135244/entropiq-vs-fnatic?rankingFilter=Top30,2022-03-13
/stats/matches/mapstatsid/135184/g2-vs-entropiq?rankingFilter=Top30,2022-03-12
/stats/matches/mapstatsid/135180/entropiq-vs-g2?rankingFilter=Top30,2022-03-12
/stats/matches/mapstatsid/135173/g2-vs-entropiq?rankingFilter=Top30,2022-03-12
/stats/matches/mapstatsid/135106/fnatic-vs-g2?rankingFilter=Top30,2022-03-11
/stats/matches/mapstatsid/135100/fnatic-vs-g2?rankingFilter=Top30,2022-03-11
/stats/matches/mapstatsid/135098/g2-vs-fnatic?rankingFilter=Top30,2022-03-11
/stats/matches/mapstatsid/135042/entropiq-vs-nip?rankingFilter=Top30,2022-03-10
/stats/matches/mapstatsid/135037/nip-vs-entropiq?rankingFilter=Top30,2022-03-10
/stats/matches/mapstatsid/135032/mouz-vs-g2?rankingFilter=Top30,2022-03-10
/stats/matches/mapstatsid/135004/fnatic-vs-nip?rankingFilter=Top30,2022-03-09
/stats/matches/mapstatsid/134998/nip-vs-fnatic?rankingFilter=Top30,2022-03-09
/stats/matches/mapstatsid/134991/entropiq-vs-mouz?rankingFilter=Top30,2022-03-09
/stats/matches/mapstatsid/134987/mouz-vs-entropiq?rankingFilter=Top30,2022-03-09
/stats/matches/mapstatsid/134953/wisla-krakow-vs-mouz-nxt?rankingFilter=Top30,2022-03-08
/stats/matches/mapstatsid/134949/mouz-nxt-vs-wisla-krakow?rankingFilter=Top30,2022-03-08
/stats/matches/mapstatsid/134945/eternal-fire-vs-gamerlegion?rankingFilter=Top30,2022-03-08
/stats/matches/mapstatsid/134942/gamerlegion-vs-eternal-fire?rankingFilter=Top30,2022-03-08
/stats/matches/mapstatsid/134847/fnatic-vs-eternal-fire?rankingFilter=Top30,2022-03-06
/stats/matches/mapstatsid/134798/fnatic-vs-wisla-krakow?rankingFilter=Top30,2022-03-06
/stats/matches/mapstatsid/134716/heet-vs-ence?rankingFilter=Top30,2022-03-05
/stats/matches/mapstatsid/134715/ence-vs-heet?rankingFilter=Top30,2022-03-05
/stats/matches/mapstatsid/134667/big-vs-sprout?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134654/sprout-vs-forze?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134641/forze-vs-sprout?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134627/sprout-vs-forze?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134610/entropiq-vs-ence?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134607/ence-vs-entropiq?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134598/dignitas-vs-copenhagen-flames?rankingFilter=Top30,2022-03-03
/stats/matches/mapstatsid/134595/copenhagen-flames-vs-dignitas?rankingFilter=Top30,2022-03-03
/stats/matches/mapstatsid/134562/endpoint-vs-spirit?rankingFilter=Top30,2022-03-02
/stats/matches/mapstatsid/134538/movistar-riders-vs-endpoint?rankingFilter=Top30,2022-03-02
/stats/matches/mapstatsid/134416/g2-vs-faze?rankingFilter=Top30,2022-02-27
/stats/matches/mapstatsid/134406/faze-vs-g2?rankingFilter=Top30,2022-02-27
/stats/matches/mapstatsid/134388/g2-vs-faze?rankingFilter=Top30,2022-02-27
/stats/matches/mapstatsid/135024/g2-vs-mouz?rankingFilter=Top30,2022-03-10
/stats/matches/mapstatsid/135001/apeks-vs-mouz-nxt?rankingFilter=Top30,2022-03-09
/stats/matches/mapstatsid/134997/mouz-nxt-vs-apeks?rankingFilter=Top30,2022-03-09
/stats/matches/mapstatsid/134990/skade-vs-eternal-fire?rankingFilter=Top30,2022-03-09
/stats/matches/mapstatsid/134985/eternal-fire-vs-skade?rankingFilter=Top30,2022-03-09
/stats/matches/mapstatsid/134946/endpoint-vs-skade?rankingFilter=Top30,2022-03-08
/stats/matches/mapstatsid/134944/skade-vs-endpoint?rankingFilter=Top30,2022-03-08
/stats/matches/mapstatsid/134861/gamerlegion-vs-fnatic?rankingFilter=Top30,2022-03-06
/stats/matches/mapstatsid/134836/skade-vs-gamerlegion?rankingFilter=Top30,2022-03-06
/stats/matches/mapstatsid/134821/skade-vs-gamerlegion?rankingFilter=Top30,2022-03-06
/stats/matches/mapstatsid/134814/gamerlegion-vs-skade?rankingFilter=Top30,2022-03-06
/stats/matches/mapstatsid/134794/skade-vs-heet?rankingFilter=Top30,2022-03-06
/stats/matches/mapstatsid/134793/heet-vs-skade?rankingFilter=Top30,2022-03-06
/stats/matches/mapstatsid/134712/skade-vs-copenhagen-flames?rankingFilter=Top30,2022-03-05
/stats/matches/mapstatsid/134711/copenhagen-flames-vs-skade?rankingFilter=Top30,2022-03-05
/stats/matches/mapstatsid/134657/9z-vs-mibr?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134612/bluejays-vs-sprout?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134606/eternal-fire-vs-skade?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134604/skade-vs-eternal-fire?rankingFilter=Top30,2022-03-04
/stats/matches/mapstatsid/134563/endpoint-vs-bad-news-eagles?rankingFilter=Top30,2022-03-02
/stats/matches/mapstatsid/134558/k23-vs-endpoint?rankingFilter=Top30,2022-03-02
/stats/matches/mapstatsid/134552/endpoint-vs-k23?rankingFilter=Top30,2022-03-02
/stats/matches/mapstatsid/134545/k23-vs-endpoint?rankingFilter=Top30,2022-03-02
/stats/matches/mapstatsid/134533/skade-vs-spirit?rankingFilter=Top30,2022-03-02
/stats/matches/mapstatsid/134306/faze-vs-heroic?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134305/forze-vs-ence?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134299/forze-vs-ence?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134296/ence-vs-forze?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134290/forze-vs-gamerlegion?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134289/gamerlegion-vs-forze?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134281/gambit-vs-faze?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134278/faze-vs-gambit?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134276/skade-vs-ence?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134274/ence-vs-skade?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134272/gamerlegion-vs-godsent?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134266/godsent-vs-gamerlegion?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134264/gamerlegion-vs-godsent?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134259/entropiq-vs-bluejays?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134258/bluejays-vs-entropiq?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134233/bluejays-vs-endpoint?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134231/endpoint-vs-bluejays?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134229/sprout-vs-dignitas?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134226/dignitas-vs-sprout?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134223/sprout-vs-dignitas?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134210/dignitas-vs-og?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134203/spirit-vs-og?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134199/spirit-vs-og?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134195/og-vs-spirit?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134192/heet-vs-skade?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134186/big-vs-wisla-krakow?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134302/heroic-vs-faze?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134294/g2-vs-natus-vincere?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134291/natus-vincere-vs-g2?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134286/ence-vs-bluejays?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134284/bluejays-vs-ence?rankingFilter=Top30,2022-02-26
/stats/matches/mapstatsid/134280/gamerlegion-vs-ecstatic?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134277/ecstatic-vs-gamerlegion?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134273/g2-vs-virtuspro?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134267/virtuspro-vs-g2?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134261/big-vs-forze?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134260/forze-vs-big?rankingFilter=Top30,2022-02-25
/stats/matches/mapstatsid/134249/gamerlegion-vs-wisla-krakow?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134245/wisla-krakow-vs-gamerlegion?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134240/gamerlegion-vs-wisla-krakow?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134230/skade-vs-k23?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134228/k23-vs-skade?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134225/gamerlegion-vs-eternal-fire?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134224/gamerlegion-vs-eternal-fire?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134222/eternal-fire-vs-gamerlegion?rankingFilter=Top30,2022-02-24
/stats/matches/mapstatsid/134207/og-vs-heet?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134202/wisla-krakow-vs-dignitas?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134198/dignitas-vs-wisla-krakow?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134194/wisla-krakow-vs-dignitas?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134189/spirit-vs-movistar-riders?rankingFilter=Top30,2022-02-23
/stats/matches/mapstatsid/134176/natus-vincere-vs-faze?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134172/faze-vs-natus-vincere?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134170/natus-vincere-vs-faze?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134167/heroic-vs-virtuspro?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134164/virtuspro-vs-heroic?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134160/fnatic-vs-astralis?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134157/fnatic-vs-astralis?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134153/astralis-vs-fnatic?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134124/gambit-vs-vitality?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134122/vitality-vs-gambit?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134119/furia-vs-natus-vincere?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134117/natus-vincere-vs-furia?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134087/copenhagen-flames-vs-gambit?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134085/copenhagen-flames-vs-gambit?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134083/gambit-vs-copenhagen-flames?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134077/mouz-vs-og?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134075/og-vs-mouz?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134078/eternal-fire-vs-apeks?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134076/apeks-vs-eternal-fire?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134073/eternal-fire-vs-apeks?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134071/g2-vs-fnatic?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134066/fnatic-vs-g2?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134062/g2-vs-fnatic?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134045/vitality-vs-mouz?rankingFilter=Top30,2022-02-17
/stats/matches/mapstatsid/134043/mouz-vs-vitality?rankingFilter=Top30,2022-02-17
/stats/matches/mapstatsid/134173/g2-vs-astralis?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134171/astralis-vs-g2?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134169/g2-vs-astralis?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134168/nip-vs-gambit?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134165/nip-vs-gambit?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134162/furia-vs-g2?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134158/furia-vs-g2?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134154/g2-vs-furia?rankingFilter=Top30,2022-02-20
/stats/matches/mapstatsid/134125/mouz-vs-nip?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134123/nip-vs-mouz?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134121/fnatic-vs-faze?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134120/fnatic-vs-faze?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134118/faze-vs-fnatic?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134116/astralis-vs-ence?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134115/ence-vs-astralis?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134112/astralis-vs-ence?rankingFilter=Top30,2022-02-19
/stats/matches/mapstatsid/134086/nip-vs-virtuspro?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134084/nip-vs-virtuspro?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134082/virtuspro-vs-nip?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134079/heroic-vs-vitality?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134074/vitality-vs-heroic?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134072/ence-vs-natus-vincere?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134068/ence-vs-natus-vincere?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134063/natus-vincere-vs-ence?rankingFilter=Top30,2022-02-18
/stats/matches/mapstatsid/134048/astralis-vs-furia?rankingFilter=Top30,2022-02-17
/stats/matches/mapstatsid/134046/furia-vs-astralis?rankingFilter=Top30,2022-02-17
/stats/matches/mapstatsid/134042/gambit-vs-nip?rankingFilter=Top30,2022-02-17
/stats/matches/mapstatsid/134041/nip-vs-gambit?rankingFilter=Top30,2022-02-17
/stats/matches/mapstatsid/134032/gambit-vs-nip?rankingFilter=Top30,2022-02-17
/stats/matches/mapstatsid/134034/eternal-fire-vs-endpoint?rankingFilter=Top30,2022-02-17
/stats/matches/mapstatsid/134029/endpoint-vs-eternal-fire?rankingFilter=Top30,2022-02-17
